disease,symptoms_causes,diagnosis,tests,treatment,prevention,source_url
Sciatica,"a jolt or electric shock; a mild ache; a path; a sharp, burning pain; a thigh; calf; Sciatica pain; the buttock; the nerve pathway; The pain; a herniated disk; A job; Age; Age.; an overgrowth",a squatting position; a time; check muscle strength; example; heels; muscle strength; reflexes; the physical exam; your legs; your toes,a CT scan; a dye; a powerful magnet and radio waves; An X; CT scan; CT scan.; Electromyography; Electromyography (EMG).; EMG; MRI; MRI .; ray; scan; the spine; This procedure; This test; X-ray; X-ray.,a healthcare; a program; exercises; future injuries; improve; improve with self-care; measures; motion; pain; posture; prevent future injuries; range; self-care; self-care measures; the core; the following treatments; the pain; treatments,2 to 3 days; a cold pack; a seat; Cold packs; Cold packs.; Exercise regularly.; exercises; good lower back support; good posture; heat; Hot packs; Hot packs.; ibuprofen; Keep good posture when sitting.; long periods; Medications; Medications.; one foot; Pain relievers; some relief; Stretching.; the abdomen; the core muscles; the muscles; the painful area; the stretch; Use your body correctly.; your body,https://www.mayoclinic.org/diseases-conditions/sciatica/symptoms-causes/syc-20377435
Scleroderma,Bloating; body are affected; breath; Constipation; depending; Diarrhea; Difficulty; Difficulty swallowing; dizziness; exercise tolerance; face; Fecal; Fecal incontinence; feet; hands,a thorough physical exam; blood tests; certain antibodies; elevated levels; ENA; ENA test; professional; scleroderma; so many different areas; so many forms; test; the body; your healthcare,,a variety; collagen; complications; contractures; cure or stop; daily tasks; Hand therapy; improve your strength; independence; mobility; no treatment; occupational therapists; Physical or occupational; Physical or occupational therapists; scleroderma; stop the overproduction; symptoms; the overproduction; treatments; your strength,blood vessels; circulation; Don't smoke.; dry or stiff skin; Exercise; foods; gas; good care; heartburn; Manage heartburn.; Nicotine; Protect your skin.; Protect yourself from the cold.; protection; Raynaud's phenomenon; Stay active.; the cold; warm mittens; your body; your skin,https://www.mayoclinic.org/diseases-conditions/scleroderma/symptoms-causes/syc-20351952
Sclerosing mesenteritis,any symptoms; diarrhea; fever; mesenteritis; mesenteritis include pain; pain; people; sclerosing mesenteritis include; Symptoms; the belly; sclerosing; sclerosing mesenteritis; The cause,a member; a physical exam; a sample; Imaging tests; Imaging tests.; mesenteritis; Physical exam; Physical exam.; testing; the abdomen; tissue,,another condition; care; discomfort; mesenteritis; occasional imaging tests; receiving care; sclerosing mesenteritis; symptoms; treatment; your condition,,https://www.mayoclinic.org/diseases-conditions/sclerosing-mesenteritis/symptoms-causes/syc-20355087
Scoliosis,back poking; bending forward; cage pushing forward; Change; Change in posture; higher; hip; hip higher; One shoulder blade; posture; rib cage pushing; shoulder blade; Shoulders; the back poking; the rib cage,a medical history; arms; Muscle; Muscle weakness; Numbness; recent growth; Reflexes; scoliosis; the healthcare professional; the physical exam; the rib cage; the waist; weakness; your child; your child's healthcare professional,care at Mayo; examinations; Mayo Clinic; MRI; Neurological; Neurological examinations; Scoliosis care; X-ray,a child's bones; birth; curve; female; How mature the child is.; Larger curves; People; People assigned female at birth.; Size; Size of curve.; the child; the risk,A healthy diet; a heavy backpack; bone health; enough calcium and vitamin D; Exercise; Most people; No activities; overall health; scoliosis; sports,https://www.mayoclinic.org/diseases-conditions/scoliosis/symptoms-causes/syc-20350716
Scorpion sting,A hard time breathing; children; crying in children; Drooling; eye movements; Fast heart; Fast heart rate; hard time breathing; High blood; High blood pressure; hypertension; intense; Muscle twitching; Nausea; Nausea and vomiting,a diagnosis; blood or imaging tests; heart; only your history; serious symptoms; symptoms; the effects; the venom; Your doctor; your liver,,a hospital; a vein; care; drugs; medical treatment; Most scorpion stings; pain; Scorpion anti; symptoms; venom,"a cool compress; a hard time; a pain reliever; a prescription; an arm; any medicines; areas; boots; Caulk cracks; Caulk cracks,; clothing; deadly scorpions; doors; Dr. Maher:; gardening gloves; give any medicines; grass; Ian Roth:; ibuprofen; Inspect and shake out; intake; Keep grass closely mowed,; leg; lumber; Mayo Clinic Minute; medicines to make; mild soap; Mr. Roth:; piles; prune bushes; Rattlesnakes; Remove piles; rocks; scorpions; sips; steps; Take steps when you're traveling.; the affected area; tree branches; weatherstripping",https://www.mayoclinic.org/diseases-conditions/scorpion-stings/symptoms-causes/syc-20353859
Scrotal masses,A change; a feeling; A tender; An unusual lump; blood; color; Dull aching; epididymis; Fever; heaviness; lump; Needing; Needing to pee; pain; pee,a blood sample; a bright light; a doctor; A physical exam; A physical exam.; a sample; a testicular self-exam; Blood test; Blood test.; Computerized tomography; Computerized tomography (CT) scan.; CT scan; CT) scan; feeling for lumps; forefingers; grasp; grasp and roll; Lab tests; lumps; other tests; scan; sound waves; testicular self-exam; the scrotum; the testicle; this exam; This test; thumbs and forefingers; Transillumination; your thumbs,a testicular self-exam; cancer cells; Chemotherapy; Chemotherapy.; feeling for lumps; forefingers; grasp; grasp and roll; lumps; powerful chemicals; Radiation; Radiation therapy; Radical inguinal orchiectomy; Radical inguinal orchiectomy.; testicular cancer; testicular self-exam; the main treatment; the testicle; therapy; thumbs and forefingers; your thumbs,a scrotal mass; depends; its cause; mass; mass mainly depends; scrotal; scrotal mass; Treatment,"a blood; a mirror; a time; a warm bath; both hands; Cup your scrotum; fingers; one hand; one testicle; shower; testicular cancer; the epididymis; the exam; the scrotum; the skin; the soft, comma-shaped structure; the testicle; the thumbs; your scrotum; your testicles",https://www.mayoclinic.org/diseases-conditions/scrotal-masses/symptoms-causes/syc-20352604
Seasonal affective disorder (SAD),,,,a change; a few feet; a special light box; avoidance behavior; behaviors; brain chemicals; bright light; Build; change negative thoughts; healthy behaviors; healthy ways; Learn; light therapy; Light therapy mimics natural outdoor light; manage stress; mood; negative thoughts; phototherapy; physical activity; SAD; stress; the first hour,,https://www.mayoclinic.org/diseases-conditions/seasonal-affective-disorder/symptoms-causes/syc-20364651
Sebaceous carcinoma,"A lump; A small, painless lump; Eyelid; Eyelid skin; irritation; neck; painless lump; pink; red-brown or yellow; skin; Swelling and irritation; tan; the eyelid; the head; the skin",A healthcare professional; biopsy; Eye exam; Eye exam.; sebaceous carcinoma; Skin; Skin biopsy; Skin biopsy.; Skin exam; Skin exam.; tissue; your eyelid; Your healthcare professional; your skin,brain tumor; brain tumor treatment; diagnosis; diagnosis and surgery; free and receive; latest on brain; receive the latest; Sign; surgery; tumor treatment,a specialized type; an option; Clinical trials; Clinical trials.; Mohs; Mohs surgery; Mohs surgery.; new treatments; powerful energy beams; Radiation; Radiation therapy; Radiation therapy.; rays; Surgery; Surgery to remove the cancer.; the cancer; therapy; Your healthcare professional,,https://www.mayoclinic.org/diseases-conditions/sebaceous-carcinoma/symptoms-causes/syc-20577038
Seborrheic dermatitis,(dandruff; a type; brown or Black skin; Flaking skin; flaky white or yellow scales; greasy skin; Itchiness; Patches; people; petaloid seborrheic dermatitis; pruritus; Rash; Ring-shaped (annular) rash; your scalp; A change,a lab; a small piece; biopsy; other conditions; seborrheic dermatitis; Skin; Skin biopsy; study; This test; your health care provider; your skin; your symptoms,,a pill; Antifungal gels; Antifungal medication; creams; lotions; shampoos; your condition,a combination; different products; home remedies; lifestyle changes; nonprescription forms; products; seborrheic dermatitis; The best approach; your condition; your skin type,https://www.mayoclinic.org/diseases-conditions/seborrheic-dermatitis/symptoms-causes/syc-20352710
Seizures,A staring spell; awareness; Changes; confusion; consciousness; emotions; Jerking movements; legs; Loss; Short-lived; Short-lived confusion; spell; staring spell; the arms; thinking,(SPECT; A blood sample; A CT scan; A neurological exam; A neurological exam.; A PET scan; a sample; A SPECT test; A spinal tap; A spinal tap.; An electroencephalogram; An electroencephalogram (EEG).; An MRI scan; blood sugar levels; Blood tests; Blood tests.; Brain; Brain CT; Brain CT scan; Brain magnetic resonance,care; care and management; epilepsy treatment; free; free and receive; latest on epilepsy; management; receive the latest; Sign; treatment,"a high-fat, low-carbohydrate diet; a ketogenic diet; a small range; brain stimulation; carbohydrates; care at Mayo; Deep brain; Deep brain stimulation; fat; foods; healthcare professional; low glycemic index; Mayo Clinic; nerve stimulation; one seizure; Other versions; professional; seizure management; seizure treatment; seizures; the best therapy; the fewest side effects; The goal; These diets; treatment; Vagus nerve; Vagus nerve stimulation; your healthcare",a medical alert bracelet; a seizure; alcohol; alcohol or illicit; alcohol use; Be active.; Brain; depression; emergency responders; enough sleep; enough water; Epilepsy; exercise; flashing; flashing lights; Get enough sleep.; healthy life choices; illicit drugs; Lack; lights; Make healthy life choices.; Managing stress; Mayo Clinic Connect; medicine; Nervous System; Seizures; sleeping; Stress,https://www.mayoclinic.org/diseases-conditions/seizure/symptoms-causes/syc-20365711
Selective IgA deficiency,a parasitic illness; bronchitis; Colds; Ear; Ear infections; Giardiasis; infections; Lung illnesses; pneumonia; Sinus; Sinus infections; the digestive system; young children; A family history; Certain medicines,a blood test; A diagnosis; an immunoglobulin blood test; frequent or repeat illnesses; IgA deficiency; immunoglobulins; levels; selective IgA deficiency; the blood; Your healthcare professional,,(pro-fuh-LAK-sis; a long-term illness; a preventive treatment; antibiotic prophylaxis; Antibiotic treatments; antibiotics; bacterial disease; chronic bronchitis; This therapy; treat bacterial disease,,https://www.mayoclinic.org/diseases-conditions/selective-iga-deficiency/symptoms-causes/syc-20362236
Self-injury/cutting,a burn; accidental injury; an area; Behaviors; bruises; Difficulties; Difficulties in relationships; emotions; Excessive rubbing; Frequent reports; Fresh cuts; helplessness; hopelessness; intense and unexpected; long pants,a health care provider; a routine medical exam; family; fresh injuries; friends; help; scars; signs; some people; the self-injury,,"a mental health professional; a type; any related mental health conditions; better ways; boost your self-image; CBT; Cognitive behavioral therapy; Cognitive behavioral therapy (CBT),; depression; Develop healthy; Develop healthy problem-solving; Dialectical behavior therapy; Dialectical behavior therapy,; difficult emotions; distress; healthy problem-solving skills; help; intense emotions; Learn; Learn skills; manage intense emotions; manage underlying issues; Mindfulness-based therapies; Mindfulness-based therapies,; self-injury; The first step; Treatment; your life; your self-injuring behavior; your specific issues",alcohol; Ask for help.; Avoid alcohol and recreational drugs.; awareness; care; Encourage friends to seek help.; Encourage supportive social networks.; feelings; Follow; friends; healthy connections; help; media influence; medical treatment; music; News media; Peers; physical activity; Practice; Raise awareness.; recreational drugs; relaxation exercises; risk; self-injury; stress; supportive social networks; Take care of yourself.; Talk about media influence.; the situations; the warning signs; therapy appointments; your ability; your desire; your mental health provider's phone number; your provider; your treatment plan,https://www.mayoclinic.org/diseases-conditions/self-injury/symptoms-causes/syc-20350950
Separation anxiety disorder,"a parent; an age; an illness; Constant worry; Constant, intense worry; fear; headaches; home; home or loved ones; nightmares about separation; parents; Repeated and intense distress; Repeated complaints; Repeated nightmares; separation",a mental health professional; a typical stage; any medical conditions; development; Diagnosis; expertise; separation anxiety disorder; the symptoms; your child; your child's pediatrician,,a trained therapist; an effective form; anxiety disorder; CBT; Cognitive behavioral therapy; Exposure treatment; lessen separation anxiety; medicine; psychotherapy; Separation; Separation anxiety; Separation anxiety disorder; separation anxiety symptoms; therapy; this type; treatment; your child,action; anxiety; Follow the treatment plan; Follow the treatment plan.; professional advice; relapses; support; Take action.; the condition; the same developmental stage; the skills; the therapy appointments; the treatment plan; worsening; your child; your child's anxiety; your child's mental health professional; your child's separation anxiety disorder; your own evidence-based treatment,https://www.mayoclinic.org/diseases-conditions/separation-anxiety-disorder/symptoms-causes/syc-20377455
Sepsis,"Change; Change in mental; clear reason; extreme confusion; Fast; Fast, shallow breathing; Feeling; Feeling lightheaded; hard time; infection; lightheaded; Major change; mental status; no clear reason; shallow breathing",,Abnormal liver; Blood-clotting; Blood-clotting problems; Computerized tomography; Computerized tomography (CT).; Electrolyte; Electrolyte imbalances; Evidence; Evidence of infection; imbalances; infection; kidney function; levels of oxygen; Liquid; liver or kidney; Lower levels; Magnetic resonance imaging; Magnetic resonance imaging (MRI).; MRI; Mucus; oxygen; problems; ray; saliva; sound waves; the respiratory tract; the wound; This machine; Ultrasound; Ultrasound.; Urine; wound; X-ray.; your lungs,,,https://www.mayoclinic.org/diseases-conditions/sepsis/symptoms-causes/syc-20351214
Sexually transmitted diseases (STDs),abdominal pain; bumps; burning urination; Discharge; feet; Fever; hands; Lower abdominal; Lower abdominal pain; odorous vaginal discharge; Pain; Pain during sex; Painful or burning; Painful or burning urination; penis,a physical or pelvic exam; an STD; current symptoms; Diagnosis; infection; signs; Some signs; warts; your health care professional; your sexual history,a blood or saliva test; a chlamydia infection; a new partner; a urine sample; age; All pregnant women; Almost everyone at least once.; an untreated or undertreated partner; Blood tests; Blood tests.; CBC; changes; Complete blood; Complete blood count; Experts; Fluid samples; Fluid samples.; Guidelines; HIV; HPV; HPV test; human immunodeficiency virus; Men; open genital sores; other groups; Pap; Some STDs; the diagnosis; Urine samples; Urine samples.; your health care professional,a single dose; an sexually transmitted infection; an STD; Antibiotics; Antibiotics.; Antiviral drugs; Antiviral drugs.; any other partners; different requirements; Each state; herpes; HIV; many STIs; one year; tests; the last three months; your current partners; your sex partners,(PrEP; a long-term relationship; alcohol; any sexual contact; Avoid sex or sexual activity.; both people; certain types; condoms; dental dams; evidence; Get vaccinated.; illegal drugs; male circumcision; men; one uninfected partner; preexposure prophylaxis; safer sex; sex; sexual activity; sexually transmitted infections,https://www.mayoclinic.org/diseases-conditions/sexually-transmitted-diseases-stds/symptoms-causes/syc-20351240
Shaken baby syndrome,brain and eyes; Breathing; Breathing problems; Coma; cord damage; Difficulty; Difficulty staying; Difficulty staying awake; discolored skin; eating; Extreme fussiness; eyes; Fractures; fussiness or irritability; irritability,A CT scan; a powerful magnetic field and radio waves; An eye exam; Blood tests; Blood tests.; Brain; Brain CT; Brain CT scan; Brain magnetic resonance; Brain magnetic resonance imaging; CT scan; CT scan.; Eye exam; Eye exam.; magnetic resonance imaging; MRI; MRI scan; MRI scan.; rays; scan,,a child; breathing support; Emergency treatment; include breathing support; medicines; seizures; shaken may include; Some children; surgery; the brain,a crying baby; New parent education classes; parents; stress; The classes; the dangers; the tears; tips; violent shaking; your crying baby,https://www.mayoclinic.org/diseases-conditions/shaken-baby-syndrome/symptoms-causes/syc-20366619
Shellfish allergy,"a tight feeling; Belly (abdominal) pain; breathing; congestion; Coughing and choking; diarrhea; Dizziness; face; fainting; Hives; irritated skin; Itchy; Itchy, irritated skin; lightheadedness or fainting; Nasal",A blood sample; a lab; Allergy skin; Allergy skin tests; Blood test; Blood test.; Skin prick test; Skin prick test.; skin tests; Small amounts; the proteins,a positive skin prick test; A small area; allergy; area of swelling; arrow; positive skin prick; skin prick test; small area; surrounding redness; test for allergy,a severe allergic reaction; adrenaline; an allergic reaction; an emergency injection; anaphylaxis; contact; epinephrine; shellfish; The only sure way; your best efforts,a severe reaction; all shellfish; amounts; an allergic reaction; Even trace; products; shellfish; shellfish allergy; some people; the only way,https://www.mayoclinic.org/diseases-conditions/shellfish-allergy/symptoms-causes/syc-20377503
Shigella infection,A feeling; blood; cramps; Diarrhea; Fever; mucus; pain or cramps; stomach or vomiting; Stomach pain; stool; the bowel; Upset stomach; vomiting; a child; A person,a physical exam; a sample; bloody diarrhea; Diagnosis; diarrhea; Many other health conditions; shigella infection; testing; the illness; your stool,,diarrhea; infection depends; lost fluids; seven days; shigella infection; shigella infection depends; the illness; Treatment; Treatment for shigella; your overall health,child care; child care jobs; children; diaper-changing areas; diarrhea; diarrhea home; Disinfect diaper-changing areas; food; food service; fully recovered; hands; healthcare; lakes; lined garbage; ponds; prepare; prepare food; recently recovered; recovered; sexual contact,https://www.mayoclinic.org/diseases-conditions/shigella/symptoms-causes/syc-20377529
Short bowel syndrome,Diarrhea; edema; Fatigue; feet; foul-smelling; foul-smelling stools; Greasy; loss; Malnutrition; the legs; Weight; Weight loss; Causes; Conditions; Crohn's disease,a contrast material; a healthcare professional; an X; blood; imaging procedures; nutrient levels; Other tests; ray; short bowel syndrome; tests,,addition; Medicines; Medicines.; nutritional support; Nutritional therapy; Nutritional therapy.; People; short bowel syndrome; small bowel syndrome; Surgery; Surgery.; Types,,https://www.mayoclinic.org/diseases-conditions/short-bowel-syndrome/symptoms-causes/syc-20355091
Sick sinus syndrome,,,"an EP study; an EP study; electrodes; other electrical properties; sick sinus syndrome; the function; the heart; the sinus node; thin, flexible wires; This test",,,https://www.mayoclinic.org/diseases-conditions/sick-sinus-syndrome/symptoms-causes/syc-20377554
Sickle cell anemia,,,an unborn baby; cell anemia; Sickle cell disease; the amniotic fluid; the baby; the sickle cell trait; the womb; this screening; your healthcare team; your partner,,,https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/symptoms-causes/syc-20355876
Sjogren's syndrome,cotton; dry cough; Dry eyes; Dry eyes.; Dry mouth; Dry mouth.; dry skin; dryness; fatigue; Joint; Joint pain; particularly the set; Persistent dry; Persistent dry cough; Prolonged,a number; medications; other diseases; person; Side effects; Sjogren's syndrome; some signs; symptoms; Tests; the signs,A doctor; a Schirmer tear test; A small piece; a test; antibodies; blood cells; different types; Evidence; Evidence of inflammatory; filter paper; Indications; inflammatory conditions; Levels; Presence; problems; Sjogren's syndrome; the dryness; Your doctor; your eyes; your liver; your lower eyelid; your tear production,dry mouth; Many people; Sjogren's syndrome; some people; the body; the dry eye; the parts; the-counter; Treatment; water,A nasal saline spray; an eye lubricant; artificial saliva; artificial tears; citrus-flavored hard candies; Don't smoke.; eyedrop form; fluids; humidity; Increase humidity.; Increase your fluid intake.; nasal saline spray; plain water; saliva flow; Saliva replacement products; sips; Smoking; Smoking can irritate; Stimulate saliva flow.; Sugarless gum,https://www.mayoclinic.org/diseases-conditions/sjogrens-syndrome/symptoms-causes/syc-20353216
Skin cancer,a blood; A family history; A history; A history of skin cancer.; A history of sunburns.; a kind; A weakened immune system; A weakened immune system.; any skin color; exposure; light; Light from tanning beds.; Light from the sun.; medicine; Most skin cancers,A healthcare; A skin cancer diagnosis; an exam; cancer; cancer diagnosis; diagnosis often starts; healthcare; healthcare professional; professional; professional might start; skin; skin cancer diagnosis; some skin; start; symptoms; your skin; your symptoms,a procedure; A sentinel lymph node biopsy; Imaging tests; Imaging tests.; pictures; Sentinel lymph node biopsy; Sentinel lymph node biopsy.; the inside,a treatment; a two-stage treatment; Biological therapy; cancer; Cancer treatment; care at Mayo; Chemotherapy; Chemotherapy.; Curettage; Curettage and electrodessication.; electrodessication; Immunotherapy; Immunotherapy.; layer; light energy; Mayo Clinic; Mohs; Mohs surgery; Mohs surgery.; Photodynamic,"a broad-spectrum sunscreen; an SPF; changes; cloudy days; dark, tightly woven clothes; Don't use tanning beds.; protective clothing; tanning beds; the day; The lights; the middle; the sun; ultraviolet light; Wear protective clothing.; Wear sunscreen year-round.; your arms; your healthcare team; your skin",https://www.mayoclinic.org/diseases-conditions/skin-cancer/symptoms-causes/syc-20377605
Skull base tumors,balance; blurry or double; breathing; Changes; coordination; Headaches; hearing; Hoarse; Hoarse voice; loss; Neck; Neck pain; Nosebleeds; other problems; pain,a CT scan; a healthcare professional; a sample; base tumors care; Biopsy; Biopsy.; Blood tests; Blood tests.; CT scan; emission tomography scan; hearing; Imaging tests; Mayo Clinic; MRI; Needle; Needle biopsy; Positron emission; Positron emission tomography; scan; Skull base tumors,,base tumors care; Brain stereotactic; Brain stereotactic radiosurgery; Chemotherapy; Chemotherapy.; Mayo Clinic; Proton; Proton therapy; Radiation; Radiation therapy; Radiation therapy.; skull base tumors; Some people; stereotactic radiosurgery; Surgery; Surgery.; the first treatment; therapy; This treatment; This type; Transsphenoidal; treatment; very strong medicines; Watchful waiting; Watchful waiting.,,https://www.mayoclinic.org/diseases-conditions/skull-base-tumors/symptoms-causes/syc-20581941
Sleep apnea,a dry mouth; air; another person; attention; Awakening; Difficulty; Difficulty paying attention; Difficulty staying asleep; dry mouth; Episodes; Excessive daytime; Excessive daytime sleepiness; Gasping for air; headache; hypersomnia,(sleep study; equipment; Home sleep tests; Home sleep tests.; Nocturnal polysomnography; Nocturnal polysomnography.; Polysomnography; simplified tests; sleep study; this test; Your health care provider,,10 common problems; a CPAP machine; a full field; a month; a problem; Adaptive servo-ventilation (ASV; Adaptive servo-ventilation (ASV).; air pressure setting; an oral appliance; Another option; associated medical problems; breathing; central sleep apnea; congestion; Continuous positive airway pressure; Continuous positive airway pressure (CPAP).; CPAP; CPAP machines; CPAP masks; Endoscopic; Endoscopic sleeve; Endoscopic sleeve gastroplasty; facial hair; feel claustrophobic; full field; glasses; milder cases; nasal allergies; obstructive sleep apnea; only lifestyle changes; Oral appliances; Oral appliances.; Other airway pressure devices; Other airway pressure devices.; sleep apnea; smoking; the position; treatment; weight; your health care provider; your provider,a smoker; abdomen; alcohol; certain medicines; constriction; Don't smoke.; Even a slight weight loss; excess weight; Exercise; Exercise.; Lose excess weight.; Regular exercise; resources; smoke; soft palate; the symptoms; tranquilizers; your tongue,https://www.mayoclinic.org/diseases-conditions/sleep-apnea/symptoms-causes/syc-20377631
Sleep disorders,a pattern; Activities; an urge; arm and leg movements; arms; breathing; movements; sleep; sleepwalking; the daytime; the night; times; Trouble; typical; your desk,a finger; A sleep study; a small device; A small monitor; a test; Actigraphy; Actigraphy.; Home sleep apnea test; Home sleep apnea test.; Maintenance; Maintenance of wakefulness test (MWT).; MSLT; Multiple sleep latency test; Multiple sleep latency test (MSLT).; MWT; Overnight oximetry test; Overnight oximetry test.; polysomnography; several tests; Sleep study,,(CPAP) therapy; Another option; Appliances; Cognitive behavioral therapy; Continuous positive airway pressure; CPAP; good sleep habits; Healthy-lifestyle choices; Healthy-lifestyle choices.; insomnia; medical and mental health conditions; Medicines; Medicines.; Oral appliances; Oral appliances.; other health conditions; some sleep disorders; supplements; Surgeries; Surgeries.,,https://www.mayoclinic.org/diseases-conditions/sleep-disorders/symptoms-causes/syc-20354018
Sleep terrors (night terrors),a racing pulse; aggressive behavior; awakened; bed; comforted; comforted or soothed; confused if awakened; flushed face; hard to wake; Kick; Kick and thrash; morning; no or little memory; scared; shouting or crying,(sleep study; a physical exam; an overnight sleep study; Polysomnography; Recommend an overnight sleep study.; sleep study; Sleep terrors; some cases; Talk about your medical history.; Talk about your symptoms.; your description; your health professional; Your healthcare professional; your medical history; your symptoms,,a medical or mental health condition; Addressing stress.; Anticipatory awakening; Anticipatory awakening.; anxiety; any underlying condition; behavioral therapy; Biofeedback; children; Cognitive behavioral; Cognitive behavioral therapy; Hypnosis; Medicine; Medicine.; sleep terrors; stress; the cause; the person; the sleep terrors; Treating any underlying condition.,"a pattern; a regular, relaxing routine; a sleep terror; all windows; bedtime; enough sleep; Extreme tiredness; Get enough sleep.; injury; its place; Look for a pattern.; Make the area safe.; Offer comfort; Offer comfort.; Put stress in its place.; quiet, calming activities; sleep terrors; stress; the area; the things",https://www.mayoclinic.org/diseases-conditions/sleep-terrors/symptoms-causes/syc-20353524
Sleepwalking,"a car; a closet; a glazed, glassy-eyed expression; a short time; a window; activities; arms; bed; bed and walk; briefly confused; confused after waking; disturbed sleep; Drive; Drive a car; glassy-eyed expression",(sleep study; care; care at Mayo; Discussion; Discussion of your symptoms.; Mayo Clinic; Physical exam; Physical exam.; Polysomnography; professional; Sleep study; Sleep study.; some cases; Your healthcare; your sleepwalking; your symptoms,,"a drug; a few minutes; a mental health professional; a trained professional; activity; Adjusting medicine,; Anticipatory awakenings; Anticipatory awakenings,; any underlying condition; benzodiazepines; counseling; enough sleep; Learning self-hypnosis; Medicine; parasomnias; people; self-hypnosis; the sleepwalking; Therapy; Therapy or counseling,","a good night's sleep; a pattern; a regular, relaxing routine; alcohol; another person; bed; bedtime; Drinking alcohol; enough sleep; Gently lead people; Get enough sleep.; injuries; its place; Look for a pattern.; Make the environment safe.; people; Put stress in its place.; quiet, calming activities; several nights; sleepwalking",https://www.mayoclinic.org/diseases-conditions/sleepwalking/symptoms-causes/syc-20353506
Small bowel cancer,Abdominal; Abdominal pain; Blood; diarrhea; Feeling; Feeling very weak; flushing; Losing; Losing weight; Nausea; pain; red or black; Skin; Skin flushing; the eyes,a sample; Blood tests; Blood tests.; clues; Imaging tests; Imaging tests.; pictures; small bowel cancer; testing; the body; tissue,"a capsule endoscopy; a pill camera; a procedure; an endoscope; Capsule endoscopy; Capsule endoscopy.; Enteroscopy; Enteroscopy.; ileum; small; small intestine; special devices; the duodenum, jejunum; the inside; the large intestine; the small intestine; the stomach; three sections; Upper endoscopy; Upper endoscopy.",a treatment; cancer cells; Chemotherapy; Chemotherapy.; Immunotherapy; Immunotherapy.; medicines; powerful energy beams; Radiation therapy; Radiation therapy.; specific chemicals; strong medicines; Surgeons; Surgery; Surgery.; Targeted therapy; Targeted therapy.; the small bowel cancer,a health care; a healthy diet; a healthy weight; a variety; alcohol; at least 30 minutes; exercise; fruits; healthy adults; Maintain a healthy weight.; moderation; smoking; Stop smoking.; the week; vegetables; ways; your weight,https://www.mayoclinic.org/diseases-conditions/small-bowel-cancer/symptoms-causes/syc-20352497
Small bowel prolapse (enterocele),A feeling; A pulling sensation; A soft bulge; back pain; dyspareunia; Low back; Low back pain; painful intercourse; pelvic fullness; pressure; pulling sensation; tissue; Vaginal discomfort; your pelvis; your vagina,a bowel movement; a deep breath; a diagnosis; a pelvic exam; a prolapse; enterocele; exam; Mayo Clinic; Pelvic; Pelvic exam; Small bowel prolapse; the exam; the prolapsed small bowel; Valsalva maneuver; your doctor,,A silicone; A surgeon; few or no obvious symptoms; Observation; Observation.; Pessary.; plastic; rubber device; Surgery; Surgery.; the prolapse; your prolapse,a chronic cough; a healthy weight; abdominal pressure; Avoid heavy; Avoid heavy lifting; Avoid heavy lifting.; chronic coughing; Constant coughing; constipation; control; control coughing; coughing; fluids; heavy lifting; high-fiber foods; Lifting heavy objects; Lose weight; Maintain a healthy weight.; overweight or obese; pelvic muscles; plenty; Prevent constipation; Prevent constipation.; Quit; Quit smoking; Quit smoking.; Smoking; some weight; support; the pressure; Treat a chronic cough.; vaginal tissues; weight; your bowels; your lower bowel,https://www.mayoclinic.org/diseases-conditions/enterocele/symptoms-causes/syc-20377661
Small intestinal bacterial overgrowth (SIBO),,,6.1 meters; about 20 feet; digestive juices; food; nutrients; the longest section; The small intestine; your bloodstream; your digestive tract; your large intestine,antibiotics; bacterial overgrowth; Doctors; medical history; most people; test results; the cause; the initial way; this treatment; your symptoms,,https://www.mayoclinic.org/diseases-conditions/small-intestinal-bacterial-overgrowth/symptoms-causes/syc-20370168
Smallpox,aches; back pain; fatigue; Fever; Headache; Muscle; Muscle aches; Severe; Severe back; Severe back pain; Severe fatigue; Vomiting; a terrorist weapon; a weapon; An infected person,a public health emergency; a smallpox outbreak; Disease Control; Even one case; its early stages; most health care providers; smallpox; The Centers; the smallpox virus; the virus,,(Tembexa; (Tpoxx; a person; antiviral medications; Brincidofovir; infected; infected with smallpox; new antiviral medications; other antiviral drugs; Research; smallpox; Tecovirimat; The FDA; The U.S. Food and Drug Administration; these drugs; treat smallpox,a live virus; A second vaccine; a smallpox outbreak; a smallpox vaccine; A vaccine; a very weakened strain; contact; exposure; Jynneos; people; smallpox; The ACAM2000 vaccine; the spread; The vaccine; the virus,https://www.mayoclinic.org/diseases-conditions/smallpox/symptoms-causes/syc-20353027
